filename,width,height,class,xmin,ymin,xmax,ymax
bike000100.jpg,1600,1140,bike,44,64,792,993
bike000100.jpg,1600,1140,bike,876,57,1564,923
bike000101.jpg,1920,1434,bike,1375,103,1912,1121
bike000101.jpg,1920,1434,bike,701,113,1181,1066
bike000101.jpg,1920,1434,bike,16,123,636,1009
bike000105.jpg,900,1002,bike,287,7,597,300
bike000105.jpg,900,1002,bike,114,336,406,612
bike000105.jpg,900,1002,bike,489,346,771,611
bike000105.jpg,900,1002,bike,486,671,781,940
bike000105.jpg,900,1002,bike,121,671,408,939
bike000106.jpg,0,0,bike,72,96,300,306
bike000106.jpg,0,0,bike,362,261,586,476
bike000106.jpg,0,0,bike,630,113,855,321
bike000106.jpg,0,0,bike,638,375,868,588
bike000106.jpg,0,0,bike,651,606,875,817
bike000106.jpg,0,0,bike,366,522,589,726
bike000106.jpg,0,0,bike,41,352,274,563
bike000106.jpg,0,0,bike,19,598,253,813
bike000110.jpg,1000,570,bike,171,220,345,394
bike000110.jpg,1000,570,bike,58,397,231,567
bike000110.jpg,1000,570,bike,273,399,453,568
bike000110.jpg,1000,570,bike,388,212,576,386
bike000110.jpg,1000,570,bike,499,399,673,567
bike000110.jpg,1000,570,bike,631,219,810,391
bike000110.jpg,1000,570,bike,723,400,899,568
bike000111.jpg,600,600,bike,130,32,299,199
bike000111.jpg,600,600,bike,303,35,466,200
bike000111.jpg,600,600,bike,43,203,212,370
bike000111.jpg,600,600,bike,214,203,383,369
bike000111.jpg,600,600,bike,389,202,559,371
bike000111.jpg,600,600,bike,298,373,467,542
bike000111.jpg,600,600,bike,130,372,302,546
bike000679.jpg,426,353,bike,42,60,376,300
bike000680.jpg,426,292,bike,24,6,421,278
bike000681.jpg,435,435,bike,14,11,414,429
bike000683.jpg,162,334,bike,10,9,157,115
bike000683.jpg,162,334,bike,32,146,140,317
bike000684.jpg,235,174,bike,21,4,187,168
bike000685.jpg,372,350,bike,34,9,336,331
bike000686.jpg,206,213,bike,18,34,169,182
bike000687.jpg,265,197,bike,27,25,230,166
bike000688.jpg,446,450,bike,23,6,434,445
bike000690.jpg,328,269,bike,57,6,271,263
bike000691.jpg,445,340,bike,54,47,388,281
bike000692.jpg,394,361,bike,49,19,307,334
bike000693.jpg,428,372,bike,56,13,363,343
bike000694.jpg,418,367,bike,23,22,385,355
bike000696.jpg,372,372,bike,16,14,357,366
bike000697.jpg,292,191,bike,42,32,240,171
bike000698.jpg,345,257,bike,46,4,323,257
bike000701.jpg,509,300,bike,12,8,227,298
bike000701.jpg,509,300,bike,245,8,502,299
bike000702.jpg,394,420,bike,11,6,369,402
bike000703.jpg,302,288,bike,19,21,285,272
bike000704.jpg,480,587,bike,9,6,472,577
bike000705.jpg,409,370,bike,35,12,377,352
bike000706.jpg,394,301,bike,11,27,392,296
bike000707.jpg,302,257,bike,45,10,253,241
bike000708.jpg,347,370,bike,32,4,333,364
bike000709.jpg,520,268,bike,3,25,242,266
bike000709.jpg,520,268,bike,278,23,507,262
bike000710.jpg,350,317,bike,16,11,328,304
bike000711.jpg,373,371,bike,14,17,354,342
bike000713.jpg,451,299,bike,24,6,430,292
bike000714.jpg,277,195,bike,52,15,222,177
bike000715.jpg,307,221,bike,46,15,234,194
bike000716.jpg,543,263,bike,12,4,245,253
bike000716.jpg,543,263,bike,292,2,540,254
bike000717.jpg,538,281,bike,8,27,254,264
bike000717.jpg,538,281,bike,287,48,532,238
bike000718.jpg,528,276,bike,7,45,247,215
bike000718.jpg,528,276,bike,275,39,522,207
bike000719.jpg,493,302,bike,19,28,230,272
bike000719.jpg,493,302,bike,283,26,473,262
bike000720.jpg,406,358,bike,43,25,219,329
bike000720.jpg,406,358,bike,231,7,398,323
bike000721.jpg,457,323,bike,21,4,174,294
bike000721.jpg,457,323,bike,275,17,438,295
bike000722.jpg,369,370,bike,55,20,322,362
bike000724.jpg,296,298,bike,7,26,281,290
bike000725.jpg,358,256,bike,28,22,334,242
bike000726.jpg,398,266,bike,20,2,378,256
bike000727.jpg,417,388,bike,15,4,371,362
bike000729.jpg,455,403,bike,22,9,420,396
bike000730.jpg,402,392,bike,21,8,383,382
